Actual,Predicted,Residual
37.0,41.6695353643085,4.669535364308501
58.0,50.99245938468078,-7.007540615319222
40.0,43.98772239144311,3.987722391443107
48.0,40.00311616182559,-7.996883838174412
43.0,43.28713615762648,0.2871361576264775
39.0,37.39081398581593,-1.6091860141840684
37.0,37.329021755303295,0.3290217553032946
52.0,40.737205098412915,-11.262794901587085
35.0,40.498249956158936,5.498249956158936
38.0,38.464997921419794,0.4649979214197941
49.0,52.047635446798246,3.047635446798246
47.0,39.67756073950445,-7.32243926049555
40.0,40.99047701336448,0.9904770133644831
40.0,42.11233056009664,2.1123305600966376
50.0,50.181184893548,0.18118489354800005
39.0,46.567058771108854,7.567058771108854
44.0,40.90560026613546,-3.0943997338645417
42.0,45.53581279826298,3.535812798262981
57.0,47.555026591742255,-9.444973408257745
42.0,42.703347981858414,0.7033479818584141
44.0,41.516241316751746,-2.4837586832482543
47.0,50.303386593788424,3.3033865937884244
38.0,37.76595680595895,-0.23404319404104967
57.0,52.142321485061046,-4.857678514938954
46.0,41.3468095355983,-4.653190464401703
40.0,40.7646066037248,0.7646066037248005
34.0,37.281442405212694,3.281442405212694
41.0,41.83852750573536,0.8385275057353567
37.0,40.4589647765832,3.4589647765832012
37.0,38.68367598921938,1.683675989219381
36.0,39.841938080665685,3.8419380806656847
42.0,46.191938818672746,4.191938818672746
39.0,43.446147481301026,4.4461474813010256
43.0,44.598162405210516,1.5981624052105161
39.0,39.88694351267982,0.8869435126798209
37.0,40.93841113737814,3.9384111373781394
36.0,38.25590649559376,2.255906495593763
37.0,39.375584380502445,2.3755843805024455
41.0,36.59540948537752,-4.404590514622477
36.0,38.830156082349944,2.8301560823499443
42.0,38.057612795069154,-3.9423872049308457
37.0,40.983251751990316,3.9832517519903163
34.0,37.29854881363206,3.2985488136320598
43.0,44.465785641528626,1.4657856415286261
43.0,44.81804371388823,1.8180437138882297
46.0,46.13718645641042,0.1371864564104186
39.0,41.56016121609612,2.5601612160961196
45.0,48.84335602658682,3.843356026586818
37.0,39.40773446159081,2.407734461590813
38.0,40.12211211052162,2.12211211052162
38.0,39.772403305015175,1.7724033050151746
43.0,42.629823995261056,-0.3701760047389442
42.0,42.53838950987912,0.5383895098791172
49.0,42.278869289028115,-6.7211307109718845
41.0,43.474485092395554,2.474485092395554
46.0,39.40992310922972,-6.590076890770277
44.0,40.536037118863995,-3.4639628811360055
36.0,39.470133624751085,3.470133624751085
37.0,40.504792872579415,3.504792872579415
44.0,43.6870181061733,-0.31298189382670216
38.0,39.81612887800864,1.8161288780086409
38.0,42.06915352323752,4.069153523237517
33.0,36.10691160970488,3.1069116097048806
40.0,43.65404860264033,3.65404860264033
41.0,41.21976961173645,0.21976961173645293
36.0,38.02880790384211,2.0288079038421074
45.0,42.3398151915426,-2.6601848084574016
39.0,40.25321584839111,1.2532158483911076
44.0,40.10438449947951,-3.895615500520492
37.0,38.63133480143848,1.6313348014384772
39.0,40.86422845916714,1.864228459167137
44.0,44.74288596288542,0.742885962885417
40.0,42.17201347670924,2.172013476709239
43.0,42.59724986821746,-0.4027501317825397
42.0,41.166902755562646,-0.8330972444373543
41.0,40.8452990225975,-0.15470097740249855
46.0,42.173822513782106,-3.826177486217894
41.0,38.60809156062303,-2.3919084393769694
47.0,47.58206133283746,0.582061332837462
