Feature,MI,Spearman,Spearman_p,SHAP_mean_abs,Permutation_MAE_increase,RFE_rank,Boruta_hit_rate,Stability_selection,Is_new,z_MI,z_SHAP_mean_abs,z_Permutation_MAE_increase,z_Boruta_hit_rate,z_Stability_selection,RFE_score,Robustness
BURDEN_SYMMETRY,0.06303621689724803,0.2474499546920614,1.2062774823891901e-70,0.011648798478293481,-0.0004668731057572891,6,0.0,0.1,True,0.5198752579179515,0.0102960413939182,0.04348073259322243,0.0,0.0999999999999,0.16666666666666666,0.10901335031670109
CHEMICAL_ENERGY_PROXY,0.019616769077176244,0.20869506617729242,2.5235841178404983e-50,0.07181345487608604,0.005898483513442095,2,0.0,0.0,True,0.16178434216852758,0.06347386860732936,0.11397329985399351,0.0,0.0,0.5,0.10578792130500406
DRI_TO_HBI_RATIO,0.008270532507301809,0.058030606365675905,4.028872002695767e-05,0.018557840876794063,-0.0011996784015919266,3,0.0,0.4,False,0.06820912535663351,0.016402747305249158,0.035365346496886205,0.0,0.3999999999996,0.3333333333333333,0.10521464873862114
LIME_SQ,0.0,0.11539772064234456,2.7192480941942565e-16,0.08685619528178852,0.00021188841918477289,2,0.0,0.2,False,0.0,0.07676971866291107,0.050997615827491245,0.0,0.1999999999998,0.5,0.1022490956882899
HIGH_SCRAP_PRACTICE,0.06031851147301914,0.26904031525419114,1.1921672375719447e-83,0.0,0.0,7,0.0,0.0,True,0.49746166969978406,0.0,0.04865107665698994,0.0,0.0,0.14285714285714285,0.08639028211289387
CARBON_PER_TONNE,0.03418700814301179,0.16967854072011881,1.3021455451637643e-33,0.06273510227136743,-0.001880046161696199,3,0.0,0.0,False,0.28194870426253765,0.055449771153764246,0.027830675156312837,0.0,0.0,0.3333333333333333,0.08553040726858087
FLUX_SATURATION_INDEX,0.042792606641826936,-0.09706779745045802,6.058772472409456e-12,0.0,0.0,7,0.0,0.1,True,0.3529212016508632,0.0,0.04865107665698994,0.0,0.0999999999999,0.14285714285714285,0.07970921190554074
SOLID_BURDEN_RATIO,0.03757847988729868,0.19891939466600272,8.605998271400833e-46,0.022411249506197543,0.0005880829061787329,4,0.0,0.0,False,0.3099190098196842,0.01980866550616494,0.055163747713576905,0.0,0.0,0.25,0.0767584816779072
FLUX_EFFICIENCY,0.024125812895243293,-0.010524900361170915,0.456841767500059,0.041102061958456726,0.0017531188202170405,4,0.0,0.0,True,0.19897154078645876,0.03632894260195469,0.06806583277254238,0.0,0.0,0.25,0.06682684760866392
HM_FRAC_SQ,0.03787018109003437,-0.1989190333458938,8.609233202541219e-46,0.0,0.0,7,0.0,0.0,True,0.31232474172225677,0.0,0.04865107665698994,0.0,0.0,0.14285714285714285,0.058619742916264775
LOW_OXYGEN_PRACTICE,0.03678938089337214,-0.2250159373149339,2.0301801664248653e-58,0.0,0.0,7,0.0,0.0,True,0.3034111154189295,0.0,0.04865107665698994,0.0,0.0,0.14285714285714285,0.0572826989707657
HM_UTILIZATION,0.038277606918009965,-0.19891946123775203,8.605402380531828e-46,0.0,0.0,8,0.0,0.0,True,0.31568488320642146,0.0,0.04865107665698994,0.0,0.0,0.125,0.0570829478123612
LIQUID_TO_SOLID_RATIO,0.03826486002363527,-0.19891946123775203,8.605402380531828e-46,0.0,0.0,8,0.0,0.0,False,0.31557975641857033,0.0,0.04865107665698994,0.0,0.0,0.125,0.057067178794183535
LIQUID_BURDEN_RATIO,0.037644379339375256,-0.1989190333458938,8.609233202541219e-46,0.0,0.0,8,0.0,0.0,False,0.3104624988856731,0.0,0.04865107665698994,0.0,0.0,0.125,0.05629959016424896
HM_DOMINANCE,0.03762293750948853,-0.19891902407826068,8.60931619239661e-46,0.0,0.0,8,0.0,0.0,False,0.31028566281600917,0.0,0.04865107665698994,0.0,0.0,0.125,0.05627306475379937
LIQUID_METAL_DOMINANCE,0.03755814400630353,-0.19891902407826068,8.60931619239661e-46,0.0,0.0,8,0.0,0.0,True,0.3097512947838251,0.0,0.04865107665698994,0.0,0.0,0.125,0.056192909548971756
CHARGE_OVERSIZE,0.026777283038461164,0.18614831569322704,3.2080979154177685e-40,0.0006287652612409467,8.130737581798127e-05,6,0.0,0.0,True,0.22083887027442678,0.0005557477167158422,0.04955150785064186,0.0,0.0,0.16666666666666666,0.04793697380237067
CARBON_TO_OXYGEN_RATIO,0.0019461484783986904,0.11403776746516368,6.061849090463055e-16,0.05216447878396444,-0.00033254147566430525,3,0.0,0.0,False,0.016050367422958695,0.046106697944228454,0.04496837610419507,0.0,0.0,0.3333333333333333,0.04673742862983653
SHIFT_LABEL,0.009800690798140277,-0.018009160786119978,0.2029382746257933,0.03417313487541244,0.0009976902659652638,4,0.0,0.0,False,0.08082871890555521,0.030204661183969674,0.059699907443130376,0.0,0.0,0.25,0.04590116890614973
HM_TO_HBI_RATIO,0.007387400373368713,0.059670917038723334,2.4205996544180766e-05,0.03250798947727977,-0.002346541958584155,3,0.0,0.0,False,0.060925716413287756,0.02873288656463761,0.022664509565558023,0.0,0.0,0.3333333333333333,0.04466450482576077
HIGH_DRI_PRACTICE,0.022422852790963788,-0.162153483914875,8.334861869152647e-31,0.0,0.0,7,0.0,0.0,True,0.18492680798024655,0.0,0.04865107665698994,0.0,0.0,0.14285714285714285,0.03951005285496325
HBI_SQ,0.014925433421954182,0.06922116301663961,9.61646214142328e-07,0.007942178378395202,0.00020677376587026805,6,0.0,0.0,False,0.12309373772261378,0.007019865395921816,0.05094097406107382,0.0,0.0,0.16666666666666666,0.035169126581486604
CPC_X_HBI,0.0053099043756525965,0.07070520822952156,5.597023226369909e-07,0.01437828028997945,-9.901258156967223e-05,4,0.0,0.0,False,0.04379209354063517,0.012708552673037055,0.047554570760539386,0.0,0.0,0.25,0.033542580637160375
HBI_FRAC,0.009411386574792235,0.06866670842091994,1.173902819825698e-06,0.013845802334205954,-0.0006389217224900268,5,0.0,0.0,False,0.07761803077286611,0.012237910564822301,0.041575395718525754,0.0,0.0,0.2,0.03158868997225942
HIGH_HM_PRACTICE,0.015847640589248257,-0.05276224082535634,0.00018957299100520728,0.0,0.0,7,0.0,0.0,True,0.13069940812209682,0.0,0.04865107665698994,0.0,0.0,0.14285714285714285,0.03137594287624079
SHIFT_B,0.011060966051234633,-0.02617632214799136,0.06419835832431288,0.00935955663361517,0.000385521544024973,6,0.0,0.0,False,0.0912225203501759,0.008272645690282462,0.05292050019418603,0.0,0.0,0.16666666666666666,0.031097544275833527
OXYGEN_EXCESS_INDEX,0.005062087646882318,-0.11403604067580786,6.067986002343408e-16,0.019212865450827357,0.0010074927644289817,5,0.0,0.0,True,0.04174828773934738,0.016981704881075334,0.05980846432746786,0.0,0.0,0.2,0.031040790818083294
SHIFT_A,0.014813466599935765,0.028660652054353235,0.04271114653836425,0.0,0.0,8,0.0,0.0,False,0.12217031967279711,0.0,0.04865107665698994,0.0,0.0,0.125,0.028055763282317556
DOLO_SQ,0.0,-0.031132392369232504,0.027709435569180565,0.020574005647436677,-6.418994009416146e-05,5,0.0,0.0,False,0.0,0.018184777956236693,0.047940210960022656,0.0,0.0,0.2,0.022705665252482483
DOLO_X_HBI,0.0,0.04973736507139287,0.00043438498038234275,0.006645867143119743,0.0006247393840120852,5,0.0,0.0,False,0.0,0.00587409279433822,0.055569696568259545,0.0,0.0,0.2,0.021153891083655244
CARBON_EFFICIENCY,0.0020088083450380267,0.11403908387512543,6.05717475125988e-16,0.005846116096553793,6.323282776502885e-05,6,0.0,0.0,True,0.016567138827298024,0.005167215609054582,0.04935134289986947,0.0,0.0,0.16666666666666666,0.018409048068231564
BUCKET_X_HBI,0.0,0.12529963450175027,5.954877247277571e-19,0.00861817513480042,-0.0007038325023182024,6,0.0,0.0,False,0.0,0.00761735968677697,0.040856547146996346,0.0,0.0,0.16666666666666666,0.014837554112992831
FLUX_INTENSIVE,0.0,0.04088438392639871,0.003834703316103945,0.0,0.0,6,0.0,0.0,True,0.0,0.0,0.04865107665698994,0.0,0.0,0.16666666666666666,0.014492120093297308
SHIFT_C,0.0,-0.003461683887200582,0.8066751407732489,0.0,0.0,7,0.0,0.0,False,0.0,0.0,0.04865107665698994,0.0,0.0,0.14285714285714285,0.011771031657926269
