Source,Target,Spearman,PartialCorr,AbsPartial,Direct_vs_indirect
DRI_UTILIZATION,HM_X_OXY_NORM,-0.0047000497095930766,0.07712746810457183,0.07712746810457183,likely_indirect_or_weak
CHARGE_DIVERSITY_INDEX,BASICITY_PROXY,0.5505595492117951,0.07710822268031596,0.07710822268031596,likely_indirect_or_weak
BURDEN_IMBALANCE,SOLID_BURDEN_COMPACTNESS,-0.045810750106562825,-0.07688686809025999,0.07688686809025999,likely_indirect_or_weak
BUCKET_UTILIZATION,FLUX_SATURATION_INDEX,-0.4312961824242226,-0.07199988411449934,0.07199988411449934,likely_indirect_or_weak
SLAG_CHEMISTRY_PROXY,CHEMICAL_ENERGY_PROXY,0.020344855320393766,-0.0717989360436378,0.0717989360436378,likely_indirect_or_weak
HM_UTILIZATION,FLUX_EFFICIENCY,0.12040032872955088,0.0710487541939833,0.0710487541939833,likely_indirect_or_weak
BURDEN_ENTROPY,HM_X_OXY_NORM,-0.19734125812597783,-0.07084118249581021,0.07084118249581021,likely_indirect_or_weak
BURDEN_ENTROPY,OXYGEN_PER_TONNE,0.006272006781145605,0.0708256801461902,0.0708256801461902,likely_indirect_or_weak
HM_X_OXY_NORM,TTT,0.1865046986053583,0.06894687902638588,0.06894687902638588,likely_indirect_or_weak
BURDEN_IMBALANCE,BASICITY_PROXY,0.42956092176275146,-0.06856773210502007,0.06856773210502007,likely_indirect_or_weak
BURDEN_ENTROPY,BASICITY_PROXY,0.5605966411925251,0.06724501506567182,0.06724501506567182,likely_indirect_or_weak
SOLID_BURDEN_RATIO,HM_TO_DRI_RATIO,-0.3241423477751783,0.06540367079099857,0.06540367079099857,likely_indirect_or_weak
LIQUID_METAL_DOMINANCE,HM_TO_DRI_RATIO,0.3241423761647346,-0.06540367079078763,0.06540367079078763,likely_indirect_or_weak
SLAG_CHEMISTRY_PROXY,FOAM_SLAG_PROXY,-0.02126779549314809,0.06424049928015839,0.06424049928015839,likely_indirect_or_weak
SOLID_BURDEN_COMPACTNESS,HM_TO_DRI_RATIO,-0.3081416357957317,0.060917647404973865,0.060917647404973865,likely_indirect_or_weak
BASICITY_PROXY,BUCKET_X_CPC,0.5428078114125315,-0.059417257622752136,0.059417257622752136,likely_indirect_or_weak
BUCKET_UTILIZATION,SLAG_CHEMISTRY_PROXY,-0.6105446059039887,0.05931856211669255,0.05931856211669255,likely_indirect_or_weak
CHEMICAL_ENERGY_PROXY,TTT,0.2058508623081857,0.05781780507567824,0.05781780507567824,likely_indirect_or_weak
BASICITY_PROXY,HM_X_OXY_NORM,-0.002680306950634288,0.05770482947100902,0.05770482947100902,likely_indirect_or_weak
SLAG_CHEMISTRY_PROXY,FLUX_EFFICIENCY,-0.9334240685551232,0.05686435622970287,0.05686435622970287,likely_indirect_or_weak
CARBON_EFFICIENCY,HM_OXY_COORDINATION,-0.9833838762669587,-0.05649870633833304,0.05649870633833304,likely_indirect_or_weak
BASICITY_PROXY,MGO_SATURATION_PROXY,-0.693064788091554,-0.056257486465928486,0.056257486465928486,likely_indirect_or_weak
FOAM_SLAG_PROXY,TTT,0.20454334621518233,-0.054812483107886015,0.054812483107886015,likely_indirect_or_weak
CARBON_EFFICIENCY,OXYGEN_EXCESS_INDEX,-0.9999999985955048,0.05355394720178174,0.05355394720178174,likely_indirect_or_weak
FLUX_SATURATION_INDEX,HM_DRI_SCRAP_PRODUCT,-0.40388536452666585,0.05343992160478709,0.05343992160478709,likely_indirect_or_weak
FLUX_EFFICIENCY,FOAM_SLAG_PROXY,-0.006179462256523367,-0.053130910427082886,0.053130910427082886,likely_indirect_or_weak
BASICITY_PROXY,OXYGEN_PER_TONNE,0.1661729365885044,-0.05223474045983392,0.05223474045983392,likely_indirect_or_weak
SOLID_BURDEN_COMPACTNESS,SLAG_CHEMISTRY_PROXY,0.04708776721853572,-0.052091192915012206,0.052091192915012206,likely_indirect_or_weak
HM_UTILIZATION,CARBON_EFFICIENCY,-0.09205875469509588,0.051704170361573557,0.051704170361573557,likely_indirect_or_weak
OXYGEN_PER_TONNE,BUCKET_X_CPC,0.01967177659806241,0.05160400525184503,0.05160400525184503,likely_indirect_or_weak
FOAM_SLAG_PROXY,SOLID_BURDEN_RATIO,0.12761166592622333,0.050796843307535984,0.050796843307535984,likely_indirect_or_weak
LIQUID_METAL_DOMINANCE,FOAM_SLAG_PROXY,-0.1276116030367394,-0.05079684330750075,0.05079684330750075,likely_indirect_or_weak
