Heat Number,Date,Shift,HM,DRI,HBI,Bucket,LIME,DOLO,CPC,POWER,OXY,T C,TTT
4515169,2025-04-06 00:00:00,C,66.8,57.2,0.0,0.0,6.3,1.6,907.0,32082.0,3342.0,124.0,34.0
4515170,2025-04-06 00:00:00,C,71.26,58.9,0.0,0.0,11.5,2.0,1101.0,36190.0,3991.0,130.16,40.0
4515171,2025-04-06 00:00:00,C,59.58,49.4,0.0,17.07,7.7,1.1,796.0,34688.0,3531.0,126.05,43.0
4515172,2025-04-06 00:00:00,A,64.66,45.9,0.0,11.92,9.4,1.2,684.0,35804.0,3347.0,122.48,43.0
4515173,2025-04-06 00:00:00,A,64.41,48.2,0.0,11.59,10.5,1.3,1202.0,39426.0,3728.0,124.2,43.0
4515174,2025-04-06 00:00:00,A,57.91,50.4,0.0,13.58,9.5,1.6,826.0,37818.0,3455.0,121.89,44.0
4515175,2025-04-06 00:00:00,A,56.84,55.2,0.0,0.0,9.2,1.7,492.0,31749.0,2847.0,112.04,41.0
4515176,2025-04-06 00:00:00,A,67.94,45.6,0.0,0.0,8.7,1.6,636.0,29851.0,3258.0,113.54,35.0
4515177,2025-04-06 00:00:00,A,64.87,50.3,0.0,0.0,8.7,1.5,257.0,29759.0,3038.0,115.17,32.0
4515178,2025-04-06 00:00:00,A,65.57,54.2,0.0,0.0,9.0,1.7,188.0,31122.0,3210.0,119.77,34.0
4515179,2025-04-06 00:00:00,A,62.11,54.8,0.0,0.0,8.6,1.5,477.0,30190.0,3199.0,116.91,34.0
4515180,2025-04-06 00:00:00,A,63.12,31.5,0.0,26.9,9.6,1.7,227.0,36108.0,3243.0,121.52,39.0
4515181,2025-04-06 00:00:00,A,57.79,47.2,0.0,13.86,8.6,1.5,408.0,32304.0,3226.0,118.85,37.0
4515182,2025-04-06 00:00:00,A,59.04,47.8,0.0,12.2,9.8,1.8,528.0,38762.0,3155.0,119.04,48.0
4515183,2025-04-06 00:00:00,A,70.41,53.8,0.0,0.0,9.7,1.8,528.0,31682.0,3082.0,124.21,37.0
